"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV","Y"
"mesero (a)",52,228860,"sorteo","autos","2015-02-20","2015-05-15","2019-04-30","2020-02-20",15256,3814,14834,"legal",33,"normal","normal",48,25369,"hombre","fisica","sorteo","captacion",12.0,8,0,1,55,0
"auxiliar",57,345442,"automático","autos","2015-04-17","2016-03-18","2020-09-15","2020-04-17",5757,5757,24088,"normal",31,"express","automatica",56,31166,"hombre","fisica","automático","modulo-agencia",48.0,9,0,1,58,1
"mantenimiento",43,202883,"sorteo","autos","2015-07-17","2016-04-15","2019-01-29","2020-07-17",6762,3381,14254,"normal",62,"express","automatica",41,20892,"hombre","moral","sorteo","modulo-agencia",39.0,9,0,1,45,1
"gerente",29,122039,"subastado con 013","autos","2015-02-20","2015-03-20","2017-05-08","2020-02-20",18297,2033,9829,"legal",51,"normal","normal",20,14790,"hombre","fisica","subasta (0,20]","modulo-agencia",4.0,8,0,1,32,0
"gerente",22,182730,"subastado con 013","autos","2015-02-20","2015-03-20","2016-10-28","2020-02-20",30450,3045,14861,"legal",44,"normal","normal",12,11368,"hombre","fisica","subasta (0,20]","modulo-agencia",4.0,8,0,1,28,0
"ejecutivo (a)",60,265464,"automático","autos","2015-12-18","2018-10-19","2021-03-09","2020-12-18",0,4424,20666,"normal",51,"express","automatica",60,29483,"mujer","fisica","automático","captacion",148.0,8,1,1,60,1
"auxiliar",33,239441,"subastado con 013","autos","2015-01-16","2015-01-16","2017-09-29","2020-01-16",31920,3990,22664,"legal",38,"normal","normal",25,16707,"hombre","fisica","subasta (0,20]","modulo-agencia",0.0,9,0,1,38,0
"taxista",44,251669,"subastado con 012","autos","2016-02-19","2016-03-18","2019-09-12","2021-02-19",37746,4194,23826,"legal",38,"normal","normal",35,20799,"hombre","fisica","subasta (0,20]","modulo-agencia",4.0,9,0,1,50,0
"docente",47,339702,"sorteo","autos","2015-12-18","2016-08-19","2019-09-03","2020-12-18",0,5661,27039,"normal",39,"normal","normal",47,22342,"hombre","fisica","sorteo","modulo-agencia",35.0,7,0,1,47,1
"jefe (a)",59,316984,"sorteo","autos","2015-06-19","2016-03-18","2020-07-01","2020-06-19",0,5283,27542,"normal",41,"normal","normal",59,29795,"hombre","fisica","sorteo","modulo-agencia",39.0,7,1,1,59,1
"analista",56,290146,"automático","autos","2015-12-18","2019-04-26","2020-06-25","2020-12-18",0,4835,30372,"normal",23,"express","automatica",56,26227,"hombre","fisica","automático","modulo-agencia",175.0,8,0,1,56,1
"coordinador (a)",59,306787,"automático","autos","2015-04-17","2016-11-18","2020-07-15","2020-04-17",10226,5113,25305,"normal",31,"express","automatica",57,30841,"hombre","fisica","automático","captacion",83.0,8,1,1,60,1
"encargado (a)",41,269836,"automático","autos","2015-01-16","2015-10-16","2018-05-22","2020-01-16",31479,4497,17477,"legal",28,"express","automatica",34,20425,"hombre","fisica","automático","modulo-agencia",39.0,9,1,1,44,0
"empleado (a)",57,302494,"sorteo","autos","2015-07-17","2016-06-17","2021-10-14","2020-07-17",10082,5041,20080,"normal",34,"normal","normal",55,34910,"hombre","fisica","sorteo","modulo-agencia",48.0,7,0,1,59,1
"perito",50,191162,"sorteo","autos","2015-05-15","2015-10-16","2019-05-15","2020-05-15",31860,3186,11031,"legal",36,"normal","normal",40,24240,"mujer","fisica","sorteo","modulo-agencia",22.0,8,0,1,59,0
"comerciante",60,412910,"automático","autos","2015-12-18","2017-12-15","2020-11-03","2020-12-18",6881,6881,40159,"normal",37,"express","automatica",59,28343,"mujer","fisica","automático","modulo-agencia",104.0,3,1,1,61,1
"propietario (a)",40,254807,"subastado con 013","autos","2015-01-16","2015-07-17","2018-04-23","2020-01-16",29722,4246,23579,"legal",25,"normal","normal",33,19962,"mujer","fisica","subasta (0,20]","modulo-agencia",26.0,7,1,1,43,0
"asesor (a)",58,243514,"sorteo","autos","2016-03-18","2016-05-20","2022-05-20","2021-03-18",16232,4058,14040,"legal",43,"normal","normal",54,32703,"mujer","fisica","sorteo","modulo-agencia",9.0,9,0,1,59,0
"asesor (a)",60,421310,"sorteo","autos","2015-06-19","2015-11-20","2020-08-10","2020-06-19",0,7021,42333,"normal",33,"normal","normal",60,30219,"hombre","fisica","sorteo","modulo-agencia",22.0,8,0,1,60,1
"subjefe (a)",59,308134,"automático","autos","2015-01-16","2016-04-15","2019-11-13","2020-01-16",0,5135,23007,"normal",47,"express","automatica",59,28453,"mujer","fisica","automático","modulo-agencia",65.0,9,0,1,59,1
"empleado (a)",60,331452,"automático","autos","2015-07-17","2016-06-17","2021-06-18","2020-07-17",11048,5524,30225,"normal",30,"express","automatica",58,33309,"mujer","fisica","automático","modulo-agencia",48.0,6,0,1,61,1
"jubilado (a)",14,100786,"subastado con 013","autos","2015-03-20","2015-03-20","2016-04-28","2020-03-20",8395,2000,7557,"legal",59,"normal","normal",9,7261,"mujer","moral","subasta (0,20]","modulo-agencia",0.0,5,1,1,17,0
"administrador (a)",54,259700,"sorteo","autos","2015-05-15","2015-09-18","2019-09-12","2020-05-15",0,4328,18279,"normal",30,"normal","normal",54,26007,"hombre","fisica","sorteo","captacion",18.0,8,1,1,54,1
"propietario (a)",57,213359,"automático","autos","2016-03-18","2017-09-15","2020-11-30","2021-03-18",21330,3555,15124,"legal",43,"express","automatica",51,26290,"mujer","fisica","automático","captacion",78.0,9,0,1,60,0
"propietario (a)",51,326338,"automático","autos","2015-05-15","2016-08-19","2019-06-07","2020-05-15",0,5438,29776,"normal",35,"express","automatica",51,24683,"hombre","fisica","automático","captacion",66.0,6,0,1,51,1
"vendedor (a)",44,187050,"automático","autos","2015-05-15","2016-05-20","2018-11-29","2020-05-15",28053,3117,11188,"legal",37,"express","automatica",35,21579,"hombre","fisica","automático","modulo-agencia",53.0,6,1,1,50,0
"propietario (a)",40,162701,"automático","autos","2015-05-15","2016-04-15","2018-07-17","2020-05-15",21688,2711,12096,"legal",41,"normal","normal",32,19771,"hombre","fisica","automático","modulo-agencia",48.0,8,1,1,45,0
"auditor (a)",59,340709,"subastado con 012","autos","2015-01-16","2016-03-18","2019-11-30","2020-01-16",0,5678,28952,"normal",32,"express","automatica",59,28453,"mujer","fisica","subasta (0,20]","captacion",61.0,9,0,1,59,1
"ingeniero (a)",43,202931,"automático","autos","2015-12-18","2018-05-18","2019-05-31","2020-12-18",23674,3382,19987,"legal",37,"express","automatica",36,20575,"hombre","fisica","automático","modulo-agencia",126.0,8,0,1,45,0
"taxista",54,215243,"automático","autos","2015-07-17","2016-04-15","2019-12-30","2020-07-17",25109,3587,18294,"legal",56,"normal","normal",47,25736,"hombre","moral","automático","captacion",39.0,9,0,1,56,0
"empleado (a)",40,277199,"sorteo","autos","2015-08-21","2015-10-16","2018-11-08","2020-08-21",0,4619,16867,"normal",35,"normal","normal",40,19479,"mujer","fisica","sorteo","captacion",8.0,9,1,1,40,1
"ejecutivo (a)",60,291331,"subastado con 009","autos","2015-12-18","2016-12-16","2022-01-17","2020-12-18",4855,4855,22379,"normal",51,"express","automatica",59,33474,"mujer","fisica","subasta (0,20]","captacion",52.0,8,1,1,61,1
"propietario (a)",60,321183,"automático","autos","2015-04-17","2016-04-15","2020-03-02","2020-04-17",5353,5353,24403,"normal",41,"express","automatica",59,28599,"hombre","fisica","automático","modulo-agencia",52.0,9,0,1,61,1
"comerciante",55,523727,"sorteo","autos","2015-11-20","2017-01-20","2020-03-02","2020-11-20",0,8728,37228,"normal",44,"express","automatica",55,25975,"mujer","fisica","sorteo","modulo-agencia",61.0,7,0,1,55,1
"docente",37,324132,"subastado con 009","autos","2016-02-19","2017-02-17","2019-01-17","2021-02-19",10804,5402,23218,"normal",50,"express","automatica",35,17772,"mujer","fisica","subasta (0,20]","evento",52.0,8,0,1,38,1
"propietario (a)",60,325568,"sorteo","autos","2015-01-16","2015-05-15","2020-06-20","2020-01-16",5426,5426,34903,"normal",57,"normal","normal",59,31465,"mujer","moral","sorteo","modulo-agencia",17.0,9,0,1,61,1
"empleado (a)",56,244265,"sorteo","autos","2016-03-18","2016-11-18","2022-01-28","2021-03-18",8142,4071,26585,"normal",30,"normal","normal",54,31938,"hombre","fisica","sorteo","modulo-agencia",35.0,9,0,1,58,1
"comerciante",33,224616,"sorteo","autos","2015-12-18","2016-02-19","2018-08-29","2020-12-18",18715,3743,16110,"legal",31,"normal","normal",28,16045,"hombre","fisica","sorteo","web",9.0,9,0,1,35,0
"gerente",60,400611,"subastado con 009","autos","2015-06-19","2016-07-15","2020-06-02","2020-06-19",26704,6676,36273,"legal",53,"express","automatica",56,29368,"hombre","fisica","subasta (0,20]","modulo-agencia",56.0,8,0,1,64,0
"gerente",27,400277,"subastado con 012","autos","2016-03-18","2016-03-18","2018-05-18","2021-03-18",66710,6671,41840,"legal",44,"normal","normal",17,13134,"hombre","fisica","subasta (0,20]","captacion",0.0,7,0,1,36,0
"propietario (a)",57,326459,"automático","autos","2017-09-15","2018-07-20","2022-06-02","2022-09-15",10880,5440,31268,"normal",22,"express","automatica",55,24621,"hombre","fisica","automático","captacion",44.0,8,0,1,58,1
"operador (a)",57,270752,"automático","autos","2017-09-15","2018-10-19","2022-06-02","2022-09-15",4512,4512,17083,"normal",21,"express","automatica",56,24621,"hombre","fisica","automático","captacion",57.0,8,0,1,58,1
"propietario (a)",57,309037,"automático","autos","2017-09-15","2018-10-19","2022-05-03","2022-09-15",5150,5150,23596,"normal",44,"express","automatica",56,24621,"mujer","fisica","automático","captacion",57.0,8,0,1,58,1
"ejecutivo (a)",59,402122,"subastado con 009","autos","2015-12-18","2017-01-20","2021-03-11","2020-12-18",13404,6702,34760,"normal",27,"express","automatica",57,29999,"mujer","fisica","subasta (0,20]","captacion",57.0,8,0,1,60,1
"superintendente",60,520836,"sorteo","autos","2015-01-16","2015-02-20","2019-12-02","2020-01-16",8680,8680,38000,"normal",52,"normal","normal",59,28885,"hombre","fisica","sorteo","modulo-agencia",5.0,9,1,1,61,1
"jubilado (a)",60,289247,"automático","autos","2015-01-16","2015-11-20","2020-01-02","2020-01-16",9640,4820,25218,"normal",55,"express","automatica",58,29315,"hombre","fisica","automático","captacion",44.0,9,1,1,62,1
"asesor (a)",47,312876,"automático","autos","2015-07-17","2016-09-23","2019-05-31","2020-07-17",46926,5214,28121,"legal",39,"express","automatica",38,22664,"mujer","fisica","automático","telemkt",62.0,8,0,1,51,0
"encargado (a)",59,320033,"sorteo","autos","2015-12-18","2016-08-19","2020-10-30","2020-12-18",0,5333,29166,"normal",31,"normal","normal",59,27406,"mujer","fisica","sorteo","modulo-agencia",35.0,9,1,1,59,1
"empleado (a)",60,508894,"automático","autos","2015-11-21","2017-02-17","2022-05-25","2020-11-21",0,8481,50447,"normal",43,"express","automatica",60,28020,"mujer","fisica","automático","modulo-agencia",64.8571428571429,8,0,1,60,1
"propietario (a)",48,347606,"subastado con 013","autos","2015-08-21","2015-08-21","2019-07-03","2020-08-21",5793,5793,34082,"normal",48,"normal","normal",47,23024,"hombre","fisica","subasta (0,20]","captacion",0.0,9,0,1,49,1
"consultor (a)",40,220855,"sorteo","autos","2015-03-20","2015-11-20","2018-06-11","2020-03-20",18400,3680,18285,"legal",33,"normal","normal",35,19835,"hombre","fisica","sorteo","modulo-agencia",35.0,9,1,1,44,0
"docente",54,233157,"automático","autos","2015-06-19","2016-04-15","2019-10-08","2020-06-19",34965,3885,22492,"legal",59,"express","automatica",45,25921,"hombre","moral","automático","captacion",43.0,5,0,1,60,0
"enfermera (o)",57,353123,"sorteo","autos","2015-12-18","2016-02-19","2022-05-12","2020-12-18",5885,5885,22992,"normal",56,"normal","normal",56,29074,"mujer","moral","sorteo","modulo-agencia",9.0,9,0,1,58,1
"administrador (a)",60,277837,"sorteo","autos","2015-05-15","2016-01-15","2021-04-19","2020-05-15",0,4630,21876,"normal",41,"normal","normal",60,34073,"mujer","fisica","sorteo","modulo-agencia",35.0,8,1,1,60,1
"ingeniero (a)",50,265511,"subastado con 011","autos","2015-12-18","2016-11-18","2020-01-31","2020-12-18",22125,4425,23686,"legal",37,"express","automatica",45,23561,"hombre","fisica","subasta (0,20]","modulo-agencia",48.0,9,1,1,55,0
"militar",58,225110,"subastado con 012","autos","2015-01-16","2016-06-17","2019-10-22","2020-01-16",37510,3751,16013,"legal",27,"express","automatica",48,28018,"hombre","fisica","subasta (0,20]","modulo-agencia",74.0,9,0,1,65,0
"comerciante",54,218243,"subastado con 011","autos","2015-12-18","2016-10-21","2020-05-02","2020-12-18",7274,3637,15482,"normal",36,"express","automatica",52,25282,"hombre","fisica","subasta (0,20]","modulo-agencia",44.0,9,0,1,55,1
"propietario (a)",49,222508,"automático","autos","2015-01-16","2016-03-18","2019-01-17","2020-01-16",37080,3708,20684,"legal",23,"express","automatica",39,24041,"mujer","fisica","automático","captacion",61.0,7,0,1,58,0
"propietario (a)",19,62501,"sorteo","autos","2016-03-18","2016-08-19","2017-09-07","2021-03-18",10410,2000,6238,"legal",55,"normal","normal",9,9417,"hombre","fisica","sorteo","modulo-agencia",22.0,8,1,1,23,0
"vendedor (a)",59,300473,"sorteo","autos","2015-12-18","2016-06-17","2021-01-04","2020-12-18",0,5007,19599,"normal",47,"normal","normal",59,28245,"mujer","fisica","sorteo","captacion",26.0,9,0,1,59,1
"bar tender",60,298864,"automático","autos","2015-03-20","2016-05-20","2020-06-02","2020-03-20",4981,4981,24703,"normal",41,"express","automatica",59,30415,"hombre","fisica","automático","captacion",61.0,9,0,1,61,1
"director (a)",26,146703,"subastado con 012","autos","2015-11-20","2016-04-15","2017-11-27","2020-11-20",24450,2445,14441,"legal",31,"express","automatica plus",16,12931,"hombre","fisica","subasta (0,20]","captacion",21.0,6,0,1,31,0
"empleado (a)",11,93106,"subastado con 012","autos","2015-12-18","2016-02-19","2016-10-28","2020-12-18",15510,2000,8576,"legal",41,"express","normal",1,5614,"hombre","fisica","subasta (0,20]","modulo-agencia",9.0,5,0,1,12,0
"propietario (a)",30,486177,"sorteo","autos","2015-12-18","2015-12-18","2018-05-11","2020-12-18",32408,8102,39343,"legal",50,"normal","normal",26,14671,"hombre","fisica","sorteo","modulo-agencia",0.0,9,1,1,33,0
"socio (a)",60,564026,"sorteo","autos","2015-07-17","2016-11-18","2021-06-09","2020-07-17",0,9400,45333,"normal",47,"express","automatica",60,33309,"hombre","fisica","sorteo","captacion",70.0,9,0,1,60,1
"empleado (a)",48,244874,"subastado con 012","autos","2015-02-20","2015-11-20","2019-01-30","2020-02-20",24486,4081,24843,"legal",38,"express","automatica plus",42,23515,"mujer","fisica","subasta (0,20]","captacion",39.0,9,1,1,53,0
"propietario (a)",40,226400,"sorteo","autos","2015-04-17","2015-10-16","2018-06-23","2020-04-17",22638,3773,12746,"legal",31,"normal","normal",34,19835,"hombre","fisica","sorteo","modulo-agencia",26.0,8,1,1,45,0
"propietario (a)",48,499999,"sorteo","autos","2015-03-20","2015-07-17","2019-02-01","2020-03-20",16666,8333,37138,"normal",75,"normal","normal",46,23434,"hombre","moral","sorteo","modulo-agencia",17.0,8,1,1,49,1
"docente",60,287333,"sorteo","autos","2015-12-18","2016-04-15","2022-05-13","2020-12-18",4788,4788,24699,"normal",33,"normal","normal",59,27826,"mujer","fisica","sorteo","captacion",17.0,9,0,1,61,1
"docente",49,289732,"subastado con 013","autos","2015-06-19","2015-06-19","2022-05-18","2020-06-19",9656,4828,31321,"normal",47,"normal","normal",47,23716,"mujer","fisica","subasta (0,20]","modulo-agencia",0.0,9,1,1,50,1
"técnico (a)",59,274923,"subastado con 011","autos","2015-07-17","2016-09-23","2020-07-22","2020-07-17",9164,4582,23487,"normal",26,"express","automatica",57,28742,"hombre","fisica","subasta (0,20]","modulo-agencia",62.0,7,0,1,60,1
"docente",49,523180,"sorteo","autos","2015-02-20","2015-05-15","2019-01-02","2020-02-20",8719,8719,37195,"normal",50,"normal","normal",48,24041,"hombre","fisica","sorteo","modulo-agencia",12.0,8,1,1,50,1
"residente",34,274504,"sorteo","autos","2015-12-18","2015-12-18","2018-09-03","2020-12-18",18300,4575,21965,"legal",47,"normal","normal",30,16499,"hombre","fisica","sorteo","modulo-agencia",0.0,8,0,1,37,0
"propietario (a)",22,164190,"subastado con 013","autos","2015-05-15","2015-06-19","2017-01-09","2020-05-15",13680,2736,11552,"legal",63,"normal","normal",17,11282,"hombre","moral","subasta (0,20]","captacion",5.0,8,1,0,25,0
"ejecutivo (a)",60,240550,"sorteo","autos","2015-03-20","2015-08-21","2020-02-01","2020-03-20",8018,4009,27179,"normal",35,"normal","normal",58,28693,"mujer","fisica","sorteo","captacion",22.0,9,0,1,62,1
"administrador (a)",60,267613,"automático","autos","2015-06-19","2016-06-17","2021-06-15","2020-06-19",4460,4460,23796,"normal",30,"express","automatica",59,34361,"hombre","fisica","automático","captacion",52.0,6,1,1,61,1
"vendedor (a)",40,203075,"sorteo","autos","2015-05-15","2016-01-15","2018-08-31","2020-05-15",23688,3384,22548,"legal",34,"normal","normal",33,19703,"mujer","fisica","sorteo","modulo-agencia",35.0,9,0,1,46,0
"enfermera (o)",59,391873,"sorteo","autos","2016-02-19","2016-09-23","2021-12-08","2021-02-19",13062,6531,35568,"normal",48,"normal","normal",57,32060,"hombre","fisica","sorteo","modulo-agencia",31.0,8,0,1,60,1
"gerente",47,198503,"subastado con 013","autos","2015-09-18","2015-09-18","2020-09-30","2020-09-18",23156,3308,16421,"legal",43,"normal","normal",40,28542,"mujer","fisica","subasta (0,20]","captacion",0.0,6,0,1,53,0
"gerente",15,184114,"subastado con 013","autos","2015-02-20","2015-04-17","2016-04-01","2020-02-20",30680,3068,14133,"legal",43,"express","normal",5,7786,"hombre","fisica","subasta (0,20]","modulo-agencia",8.0,7,0,1,16,0
"gerente",56,336825,"subastado con 012","autos","2015-06-19","2015-10-16","2020-01-16","2020-06-19",44904,5613,29297,"legal",30,"express","automatica plus",48,26692,"hombre","fisica","subasta (0,20]","captacion",17.0,6,0,1,62,0
"contador (a)",9,108721,"subastado con 012","autos","2015-11-20","2015-11-20","2016-07-22","2020-11-20",14496,2000,9454,"legal",30,"normal","normal",1,4610,"mujer","fisica","subasta (0,20]","captacion",0.0,6,0,1,11,0
"actor/actriz",56,255923,"automático","autos","2015-06-19","2016-04-15","2019-12-19","2020-06-19",25590,4265,16739,"legal",27,"express","automatica",50,26788,"hombre","fisica","automático","modulo-agencia",43.0,8,0,1,62,0
"jubilado (a)",60,400776,"automático","autos","2015-06-19","2016-04-15","2020-11-13","2020-06-19",0,6679,29166,"normal",69,"express","automatica",60,31484,"mujer","moral","automático","evento",43.0,8,0,1,60,1
"empleado (a)",47,217176,"sorteo","autos","2016-10-21","2017-04-21","2020-08-21","2021-10-21",25333,3619,18470,"legal",24,"normal","normal",40,21451,"hombre","fisica","sorteo","modulo-agencia",26.0,9,0,1,49,0
"encargado (a)",60,269375,"automático","autos","2015-01-16","2016-04-15","2019-12-07","2020-01-16",40401,4489,25942,"legal",31,"express","automatica",51,28885,"mujer","fisica","automático","modulo-agencia",65.0,9,0,1,66,0
"director (a)",60,329107,"automático","autos","2015-11-20","2016-09-23","2021-12-10","2020-11-20",0,5485,23844,"normal",38,"express","automatica",60,33602,"hombre","fisica","automático","captacion",44.0,9,0,1,60,1
"ejecutivo (a)",38,177590,"automático","autos","2015-02-20","2016-01-15","2018-03-21","2020-02-20",26631,2959,19111,"legal",29,"express","automatica",29,18975,"hombre","fisica","automático","captacion",47.0,8,0,1,39,0
"mantenimiento",60,355817,"subastado con 012","autos","2015-11-20","2017-01-20","2021-05-17","2020-11-20",5930,5930,28255,"normal",26,"express","automatica",59,30815,"hombre","fisica","subasta (0,20]","modulo-agencia",61.0,9,0,1,61,1
"empleado (a)",60,313187,"sorteo","autos","2016-05-20","2017-03-17","2021-06-14","2021-05-20",10438,5219,28625,"normal",38,"express","automatica",58,28147,"hombre","fisica","sorteo","captacion",43.0,9,0,1,62,1
"enfermera (o)",60,347190,"sorteo","autos","2015-11-20","2017-02-17","2020-12-02","2020-11-20",0,5786,39314,"normal",57,"express","automatica",60,28762,"mujer","moral","sorteo","modulo-agencia",65.0,9,0,1,60,1
"jubilado (a)",48,180674,"subastado con 013","autos","2015-02-20","2015-02-20","2019-01-11","2020-02-20",6022,3011,16649,"normal",58,"normal","normal",46,23515,"hombre","moral","subasta (0,20]","captacion",0.0,9,0,1,50,1
"auxiliar",39,132150,"subastado con 013","autos","2015-05-15","2015-05-15","2018-06-29","2020-05-15",17616,2202,13166,"legal",26,"normal","normal",31,19313,"hombre","fisica","subasta (0,20]","modulo-agencia",0.0,9,0,0,43,0
"gerente",50,312725,"automático","autos","2015-01-16","2016-03-18","2019-01-28","2020-01-16",36484,5212,28804,"legal",49,"express","automatica",43,24566,"mujer","fisica","automático","modulo-agencia",61.0,9,1,1,54,0
"jefe (a)",20,93626,"subastado con 012","autos","2015-06-19","2016-04-15","2017-01-16","2020-06-19",12480,2000,6696,"legal",49,"express","automatica",12,10232,"mujer","fisica","subasta (0,20]","captacion",43.0,9,0,1,23,0
"ingeniero (a)",46,343287,"subastado con 012","autos","2016-02-19","2017-02-17","2019-11-11","2021-02-19",11442,5721,31901,"normal",61,"express","automatica",44,21672,"hombre","moral","subasta (0,20]","modulo-agencia",52.0,8,0,1,47,1
"docente",49,648438,"subastado con 013","autos","2015-12-18","2015-12-18","2019-12-06","2020-12-18",0,10807,67488,"normal",49,"normal","normal",49,23131,"mujer","fisica","subasta (0,20]","telemkt",0.0,8,0,1,49,1
"auxiliar",44,336649,"subastado con 013","autos","2015-03-20","2015-10-16","2018-10-10","2020-03-20",5610,5610,19966,"normal",45,"normal","normal",43,21654,"mujer","fisica","subasta (0,20]","modulo-agencia",30.0,8,0,1,45,1
"vendedor (a)",37,242085,"sorteo","autos","2015-06-19","2015-09-18","2018-05-02","2020-06-19",32272,4034,26828,"legal",29,"normal","normal",29,18328,"hombre","fisica","sorteo","modulo-agencia",13.0,8,0,1,44,0
"cocinero (a)",14,58182,"sorteo","autos","2015-06-19","2016-01-15","2016-07-06","2020-06-19",6783,2000,6690,"legal",24,"normal","normal",7,7225,"hombre","fisica","sorteo","captacion",30.0,9,0,1,20,0
"administrador (a)",44,300269,"sorteo","autos","2015-12-18","2016-07-15","2019-07-25","2020-12-18",5004,5004,25706,"normal",45,"normal","normal",43,20944,"mujer","fisica","sorteo","modulo-agencia",30.0,8,0,1,45,1
"comerciante",40,351711,"automático","autos","2015-08-21","2016-07-15","2018-11-21","2020-08-21",58610,5861,37288,"legal",31,"express","automatica",30,19479,"hombre","fisica","automático","captacion",47.0,9,0,1,43,0
"empleado (a)",27,88045,"sorteo","autos","2015-02-20","2016-10-21","2017-04-24","2020-02-20",11736,2000,9907,"legal",27,"normal","normal",19,13781,"mujer","fisica","sorteo","captacion",87.0,8,1,1,30,0
"empleado (a)",38,200187,"subastado con 012","autos","2016-10-21","2017-07-21","2019-10-01","2021-10-21",30024,3336,15019,"legal",42,"express","automatica",29,17661,"mujer","fisica","subasta (0,20]","modulo-agencia",39.0,8,0,1,39,0
"propietario (a)",56,638202,"automático","autos 6 &amp; ya","2017-09-15","2020-08-21","2022-04-12","2022-09-15",21272,10636,35373,"normal",39,"express","automatica",54,24242,"hombre","fisica","automático","facebook",153.0,8,0,1,57,1
"empleado (a)",9,54807,"sorteo","autos","2015-11-20","2016-04-15","2016-07-12","2020-11-20",9130,2000,3294,"legal",33,"normal","normal",1,4610,"hombre","fisica","sorteo","modulo-agencia",21.0,9,0,1,19,0
"subgerente",59,274712,"automático","autos","2015-02-20","2015-12-18","2020-03-13","2020-02-20",9156,4578,26429,"normal",26,"express","automatica",57,29646,"hombre","fisica","automático","modulo-agencia",43.0,9,1,1,60,1
"promotor (a)",34,302613,"subastado con 013","autos","2015-05-15","2015-06-19","2018-02-02","2020-05-15",45387,5043,18765,"legal",23,"normal","normal",25,16944,"hombre","fisica","subasta (0,20]","captacion",5.0,9,0,1,43,0
"comerciante",29,141580,"sorteo","autos","2016-10-21","2017-03-17","2019-01-21","2021-10-21",11795,2359,12502,"legal",50,"normal","normal",24,13683,"hombre","fisica","sorteo","modulo-agencia",21.0,8,0,1,33,0
"empleado (a)",49,232935,"subastado con 013","autos","2015-05-15","2015-06-19","2019-05-02","2020-05-15",0,3882,17049,"normal",25,"normal","normal",49,23716,"hombre","fisica","subasta (0,20]","captacion",5.0,9,0,1,49,1
"propietario (a)",55,324547,"sorteo","autos","2015-06-19","2015-06-19","2019-11-06","2020-06-19",0,5409,31665,"normal",26,"normal","normal",55,26356,"mujer","fisica","sorteo","captacion",0.0,8,0,1,55,1
